alex 256*256 batch_size = 4, 0.4均分  1e-6
alex 256*256 batch_size = 4, 0.4均分  1e-6
train [0/80] loss 0.3517, acc 0.2617, best_epoch 0

test [1/80] loss: 1.409, acc 0.2833, best_acc 0.2833

train [1/80] loss 0.3448, acc 0.2964, best_epoch 0

test [2/80] loss: 1.381, acc 0.4729, best_acc 0.4729

train [2/80] loss 0.3384, acc 0.3451, best_epoch 1

test [3/80] loss: 1.355, acc 0.5928, best_acc 0.5928

train [3/80] loss 0.3312, acc 0.3982, best_epoch 2

test [4/80] loss: 1.326, acc 0.6331, best_acc 0.6331

train [4/80] loss 0.3211, acc 0.4764, best_epoch 3

test [5/80] loss: 1.286, acc 0.6546, best_acc 0.6546

train [5/80] loss 0.3154, acc 0.5053, best_epoch 4

test [6/80] loss: 1.263, acc 0.6861, best_acc 0.6861

train [6/80] loss 0.3032, acc 0.5484, best_epoch 5

test [7/80] loss: 1.214, acc 0.7167, best_acc 0.7167

train [7/80] loss 0.2925, acc 0.5668, best_epoch 6

test [8/80] loss: 1.172, acc 0.7509, best_acc 0.7509

train [8/80] loss 0.2764, acc 0.6050, best_epoch 7

test [9/80] loss: 1.107, acc 0.7369, best_acc 0.7509

train [9/80] loss 0.2595, acc 0.6567, best_epoch 7

test [10/80] loss: 1.039, acc 0.7399, best_acc 0.7509

train [10/80] loss 0.2457, acc 0.6602, best_epoch 7

test [11/80] loss: 0.984, acc 0.7307, best_acc 0.7509

train [11/80] loss 0.2368, acc 0.6695, best_epoch 7

test [12/80] loss: 0.948, acc 0.7443, best_acc 0.7509

train [12/80] loss 0.2261, acc 0.6849, best_epoch 7

test [13/80] loss: 0.906, acc 0.7588, best_acc 0.7588

train [13/80] loss 0.2177, acc 0.6995, best_epoch 12

test [14/80] loss: 0.872, acc 0.7859, best_acc 0.7859

train [14/80] loss 0.2044, acc 0.7229, best_epoch 13

test [15/80] loss: 0.818, acc 0.8384, best_acc 0.8384

train [15/80] loss 0.1994, acc 0.7272, best_epoch 14

test [16/80] loss: 0.798, acc 0.8310, best_acc 0.8384

train [16/80] loss 0.1933, acc 0.7471, best_epoch 14

test [17/80] loss: 0.774, acc 0.8568, best_acc 0.8568

train [17/80] loss 0.1860, acc 0.7628, best_epoch 16

test [18/80] loss: 0.745, acc 0.8870, best_acc 0.8870

train [18/80] loss 0.1774, acc 0.7800, best_epoch 17

test [19/80] loss: 0.710, acc 0.8800, best_acc 0.8870

train [19/80] loss 0.1671, acc 0.8008, best_epoch 17

test [20/80] loss: 0.669, acc 0.8932, best_acc 0.8932

train [20/80] loss 0.1637, acc 0.7958, best_epoch 19

test [21/80] loss: 0.655, acc 0.8932, best_acc 0.8932

train [21/80] loss 0.1541, acc 0.8145, best_epoch 19

test [22/80] loss: 0.617, acc 0.8857, best_acc 0.8932

train [22/80] loss 0.1478, acc 0.8235, best_epoch 19

test [23/80] loss: 0.592, acc 0.9019, best_acc 0.9019

train [23/80] loss 0.1441, acc 0.8256, best_epoch 22

test [24/80] loss: 0.577, acc 0.8997, best_acc 0.9019

train [24/80] loss 0.1374, acc 0.8387, best_epoch 22

test [25/80] loss: 0.550, acc 0.8888, best_acc 0.9019

train [25/80] loss 0.1330, acc 0.8492, best_epoch 22

test [26/80] loss: 0.533, acc 0.9006, best_acc 0.9019

train [26/80] loss 0.1332, acc 0.8401, best_epoch 22

test [27/80] loss: 0.534, acc 0.9137, best_acc 0.9137

train [27/80] loss 0.1276, acc 0.8515, best_epoch 26
