alex 256*256 batch_size = 4, 0.4¾ù·Ö  1e-6
train [0/100] loss 0.3434, acc 0.3089, best_epoch 0

test [1/100] loss: 1.375, acc 0.4851, best_acc 0.4851

train [1/100] loss 0.3373, acc 0.3541, best_epoch 0

test [2/100] loss: 1.351, acc 0.5083, best_acc 0.5083

train [2/100] loss 0.3318, acc 0.3924, best_epoch 1

test [3/100] loss: 1.329, acc 0.6370, best_acc 0.6370

train [3/100] loss 0.3254, acc 0.4460, best_epoch 2

test [4/100] loss: 1.303, acc 0.6563, best_acc 0.6563

train [4/100] loss 0.3179, acc 0.4968, best_epoch 3

test [5/100] loss: 1.273, acc 0.7128, best_acc 0.7128

train [5/100] loss 0.3071, acc 0.5473, best_epoch 4

test [6/100] loss: 1.230, acc 0.7636, best_acc 0.7636

train [6/100] loss 0.2979, acc 0.5721, best_epoch 5

test [7/100] loss: 1.193, acc 0.7964, best_acc 0.7964

train [7/100] loss 0.2855, acc 0.6111, best_epoch 6

test [8/100] loss: 1.143, acc 0.8170, best_acc 0.8170

train [8/100] loss 0.2712, acc 0.6494, best_epoch 7

test [9/100] loss: 1.086, acc 0.8306, best_acc 0.8306

train [9/100] loss 0.2562, acc 0.6602, best_epoch 8

test [10/100] loss: 1.026, acc 0.8345, best_acc 0.8345

train [10/100] loss 0.2418, acc 0.6969, best_epoch 9

test [11/100] loss: 0.968, acc 0.8284, best_acc 0.8345

train [11/100] loss 0.2304, acc 0.7135, best_epoch 9

test [12/100] loss: 0.923, acc 0.8367, best_acc 0.8367

train [12/100] loss 0.2230, acc 0.7118, best_epoch 11

test [13/100] loss: 0.893, acc 0.8297, best_acc 0.8367

train [13/100] loss 0.2149, acc 0.7261, best_epoch 11

test [14/100] loss: 0.861, acc 0.8525, best_acc 0.8525

train [14/100] loss 0.2073, acc 0.7395, best_epoch 13

test [15/100] loss: 0.830, acc 0.8450, best_acc 0.8525

train [15/100] loss 0.2004, acc 0.7523, best_epoch 13

test [16/100] loss: 0.803, acc 0.8704, best_acc 0.8704

train [16/100] loss 0.1908, acc 0.7649, best_epoch 15

test [17/100] loss: 0.764, acc 0.8923, best_acc 0.8923

train [17/100] loss 0.1843, acc 0.7739, best_epoch 16

test [18/100] loss: 0.738, acc 0.8993, best_acc 0.8993

train [18/100] loss 0.1787, acc 0.7754, best_epoch 17

test [19/100] loss: 0.716, acc 0.8866, best_acc 0.8993

train [19/100] loss 0.1677, acc 0.8002, best_epoch 17

test [20/100] loss: 0.671, acc 0.9011, best_acc 0.9011

train [20/100] loss 0.1650, acc 0.7949, best_epoch 19

test [21/100] loss: 0.661, acc 0.9072, best_acc 0.9072

train [21/100] loss 0.1564, acc 0.8159, best_epoch 20

test [22/100] loss: 0.626, acc 0.9081, best_acc 0.9081

train [22/100] loss 0.1497, acc 0.8118, best_epoch 21

test [23/100] loss: 0.600, acc 0.8989, best_acc 0.9081

train [23/100] loss 0.1446, acc 0.8247, best_epoch 21

test [24/100] loss: 0.579, acc 0.9194, best_acc 0.9194

train [24/100] loss 0.1421, acc 0.8273, best_epoch 23

test [25/100] loss: 0.569, acc 0.9089, best_acc 0.9194

train [25/100] loss 0.1333, acc 0.8506, best_epoch 23

test [26/100] loss: 0.534, acc 0.9081, best_acc 0.9194

train [26/100] loss 0.1342, acc 0.8384, best_epoch 23

test [27/100] loss: 0.537, acc 0.9229, best_acc 0.9229

train [27/100] loss 0.1301, acc 0.8536, best_epoch 26

test [28/100] loss: 0.521, acc 0.9299, best_acc 0.9299

train [28/100] loss 0.1238, acc 0.8646, best_epoch 27

test [29/100] loss: 0.496, acc 0.9273, best_acc 0.9299

train [29/100] loss 0.1256, acc 0.8539, best_epoch 27

test [30/100] loss: 0.503, acc 0.8905, best_acc 0.9299

train [30/100] loss 0.1188, acc 0.8696, best_epoch 27

test [31/100] loss: 0.476, acc 0.9229, best_acc 0.9299

train [31/100] loss 0.1158, acc 0.8722, best_epoch 27

test [32/100] loss: 0.464, acc 0.9225, best_acc 0.9299

train [32/100] loss 0.1146, acc 0.8716, best_epoch 27

test [33/100] loss: 0.459, acc 0.9330, best_acc 0.9330

train [33/100] loss 0.1086, acc 0.8848, best_epoch 32

test [34/100] loss: 0.435, acc 0.8897, best_acc 0.9330

train [34/100] loss 0.1094, acc 0.8859, best_epoch 32

test [35/100] loss: 0.438, acc 0.9308, best_acc 0.9330

train [35/100] loss 0.1085, acc 0.8862, best_epoch 32

test [36/100] loss: 0.434, acc 0.9251, best_acc 0.9330

train [36/100] loss 0.1004, acc 0.9014, best_epoch 32

test [37/100] loss: 0.402, acc 0.9330, best_acc 0.9330

train [37/100] loss 0.1022, acc 0.8938, best_epoch 32

test [38/100] loss: 0.409, acc 0.9352, best_acc 0.9352

train [38/100] loss 0.0980, acc 0.9099, best_epoch 37

test [39/100] loss: 0.393, acc 0.9317, best_acc 0.9352

train [39/100] loss 0.0971, acc 0.9122, best_epoch 37

test [40/100] loss: 0.389, acc 0.9313, best_acc 0.9352

train [40/100] loss 0.0898, acc 0.9169, best_epoch 37

test [41/100] loss: 0.360, acc 0.9177, best_acc 0.9352

train [41/100] loss 0.0927, acc 0.9186, best_epoch 37

test [42/100] loss: 0.371, acc 0.9304, best_acc 0.9352

train [42/100] loss 0.0880, acc 0.9218, best_epoch 37

