256 256*256 batch_size = 4, 0.4均分  1e-6
256 256*256 batch_size = 4, 0.4均分  1e-6
train [0/100] loss 0.3417, acc 0.3506, best_epoch 0

test [1/100] loss: 1.368, acc 0.4934, best_acc 0.4934

train [1/100] loss 0.3158, acc 0.5271, best_epoch 0

test [2/100] loss: 1.265, acc 0.6786, best_acc 0.6786

train [2/100] loss 0.2912, acc 0.6222, best_epoch 1

test [3/100] loss: 1.166, acc 0.7741, best_acc 0.7741

train [3/100] loss 0.2683, acc 0.6768, best_epoch 2

test [4/100] loss: 1.074, acc 0.8371, best_acc 0.8371

train [4/100] loss 0.2484, acc 0.7167, best_epoch 3

test [5/100] loss: 0.995, acc 0.8323, best_acc 0.8371

train [5/100] loss 0.2257, acc 0.7477, best_epoch 3

test [6/100] loss: 0.904, acc 0.8691, best_acc 0.8691

train [6/100] loss 0.2076, acc 0.7693, best_epoch 5

test [7/100] loss: 0.831, acc 0.8739, best_acc 0.8739

train [7/100] loss 0.1945, acc 0.7833, best_epoch 6

test [8/100] loss: 0.779, acc 0.8875, best_acc 0.8875

train [8/100] loss 0.1796, acc 0.7990, best_epoch 7

test [9/100] loss: 0.719, acc 0.8980, best_acc 0.8980

train [9/100] loss 0.1696, acc 0.8046, best_epoch 8

test [10/100] loss: 0.679, acc 0.9098, best_acc 0.9098

train [10/100] loss 0.1588, acc 0.8177, best_epoch 9

test [11/100] loss: 0.636, acc 0.9129, best_acc 0.9129

train [11/100] loss 0.1467, acc 0.8311, best_epoch 10

test [12/100] loss: 0.587, acc 0.9216, best_acc 0.9216

train [12/100] loss 0.1382, acc 0.8352, best_epoch 11

test [13/100] loss: 0.554, acc 0.9264, best_acc 0.9264

train [13/100] loss 0.1254, acc 0.8635, best_epoch 12

test [14/100] loss: 0.502, acc 0.9339, best_acc 0.9339

train [14/100] loss 0.1250, acc 0.8559, best_epoch 13

test [15/100] loss: 0.501, acc 0.9396, best_acc 0.9396

train [15/100] loss 0.1124, acc 0.8734, best_epoch 14

test [16/100] loss: 0.450, acc 0.9374, best_acc 0.9396

train [16/100] loss 0.1093, acc 0.8716, best_epoch 14

test [17/100] loss: 0.438, acc 0.9378, best_acc 0.9396

train [17/100] loss 0.0996, acc 0.8903, best_epoch 14

test [18/100] loss: 0.399, acc 0.9457, best_acc 0.9457

train [18/100] loss 0.0956, acc 0.8897, best_epoch 17

test [19/100] loss: 0.383, acc 0.9453, best_acc 0.9457

train [19/100] loss 0.0885, acc 0.9058, best_epoch 17

test [20/100] loss: 0.354, acc 0.9488, best_acc 0.9488

train [20/100] loss 0.0855, acc 0.9145, best_epoch 19

test [21/100] loss: 0.342, acc 0.9470, best_acc 0.9488

train [21/100] loss 0.0780, acc 0.9201, best_epoch 19

test [22/100] loss: 0.312, acc 0.9580, best_acc 0.9580

train [22/100] loss 0.0753, acc 0.9230, best_epoch 21

test [23/100] loss: 0.302, acc 0.9558, best_acc 0.9580

train [23/100] loss 0.0721, acc 0.9326, best_epoch 21

test [24/100] loss: 0.289, acc 0.9610, best_acc 0.9610

train [24/100] loss 0.0627, acc 0.9478, best_epoch 23

test [25/100] loss: 0.251, acc 0.9628, best_acc 0.9628

train [25/100] loss 0.0584, acc 0.9498, best_epoch 24

